Location,Date,Temperature,Weather Description,Humidity,Wind Speed,Date_Only
Corfe Castle,2025-03-24 18:00:00,9.04,light rain,89,3.17,2025-03-24
Corfe Castle,2025-03-24 21:00:00,7.25,broken clouds,90,2.89,2025-03-24
Corfe Castle,2025-03-25 00:00:00,7.41,broken clouds,86,1.87,2025-03-25
Corfe Castle,2025-03-25 03:00:00,6.7,overcast clouds,87,2.14,2025-03-25
Corfe Castle,2025-03-25 06:00:00,6.04,broken clouds,85,0.93,2025-03-25
Corfe Castle,2025-03-25 09:00:00,8.0,broken clouds,82,0.84,2025-03-25
Corfe Castle,2025-03-25 12:00:00,10.19,overcast clouds,79,2.33,2025-03-25
The Cotswolds,2025-03-20 15:00:00,17.39,broken clouds,61,4.94,2025-03-20
The Cotswolds,2025-03-20 18:00:00,13.55,scattered clouds,77,4.1,2025-03-20
The Cotswolds,2025-03-20 21:00:00,8.15,scattered clouds,93,3.75,2025-03-20
The Cotswolds,2025-03-21 00:00:00,7.87,broken clouds,94,3.6,2025-03-21
The Cotswolds,2025-03-21 03:00:00,7.53,overcast clouds,94,3.05,2025-03-21
The Cotswolds,2025-03-21 06:00:00,8.72,overcast clouds,90,5.17,2025-03-21
The Cotswolds,2025-03-21 09:00:00,10.61,overcast clouds,85,6.72,2025-03-21
The Cotswolds,2025-03-21 12:00:00,13.45,overcast clouds,78,6.89,2025-03-21
The Cotswolds,2025-03-21 15:00:00,14.14,overcast clouds,76,6.65,2025-03-21
The Cotswolds,2025-03-21 18:00:00,11.62,overcast clouds,85,5.4,2025-03-21
The Cotswolds,2025-03-21 21:00:00,10.41,light rain,99,3.87,2025-03-21
The Cotswolds,2025-03-22 00:00:00,10.03,light rain,97,3.95,2025-03-22
The Cotswolds,2025-03-22 03:00:00,10.12,light rain,97,5.58,2025-03-22
The Cotswolds,2025-03-22 06:00:00,8.86,overcast clouds,92,5.25,2025-03-22
The Cotswolds,2025-03-22 09:00:00,10.58,broken clouds,86,4.74,2025-03-22
The Cotswolds,2025-03-22 12:00:00,13.59,light rain,72,4.9,2025-03-22
The Cotswolds,2025-03-22 15:00:00,14.06,light rain,69,4.6,2025-03-22
The Cotswolds,2025-03-22 18:00:00,10.65,overcast clouds,86,2.59,2025-03-22
The Cotswolds,2025-03-22 21:00:00,7.75,broken clouds,94,1.75,2025-03-22
The Cotswolds,2025-03-23 00:00:00,6.75,broken clouds,96,1.36,2025-03-23
The Cotswolds,2025-03-23 03:00:00,6.35,scattered clouds,96,1.44,2025-03-23
The Cotswolds,2025-03-23 06:00:00,6.24,scattered clouds,96,2.57,2025-03-23
The Cotswolds,2025-03-23 09:00:00,10.85,scattered clouds,88,4.21,2025-03-23
The Cotswolds,2025-03-23 12:00:00,11.77,light rain,87,4.53,2025-03-23
The Cotswolds,2025-03-23 15:00:00,12.38,light rain,85,5.11,2025-03-23
The Cotswolds,2025-03-23 18:00:00,9.78,overcast clouds,94,3.57,2025-03-23
The Cotswolds,2025-03-23 21:00:00,9.44,light rain,96,3.01,2025-03-23
The Cotswolds,2025-03-24 00:00:00,8.99,overcast clouds,97,3.14,2025-03-24
The Cotswolds,2025-03-24 03:00:00,8.26,light rain,97,2.6,2025-03-24
The Cotswolds,2025-03-24 06:00:00,7.31,light rain,97,3.05,2025-03-24
The Cotswolds,2025-03-24 09:00:00,8.63,light rain,90,3.98,2025-03-24
The Cotswolds,2025-03-24 12:00:00,7.26,light rain,93,3.52,2025-03-24
The Cotswolds,2025-03-24 15:00:00,10.25,overcast clouds,79,3.72,2025-03-24
The Cotswolds,2025-03-24 18:00:00,8.08,light rain,86,2.52,2025-03-24
The Cotswolds,2025-03-24 21:00:00,7.32,overcast clouds,81,1.74,2025-03-24
The Cotswolds,2025-03-25 00:00:00,3.62,broken clouds,88,0.71,2025-03-25
The Cotswolds,2025-03-25 03:00:00,3.19,few clouds,88,0.7,2025-03-25
The Cotswolds,2025-03-25 06:00:00,2.89,few clouds,89,1.23,2025-03-25
The Cotswolds,2025-03-25 09:00:00,7.67,overcast clouds,82,2.03,2025-03-25
The Cotswolds,2025-03-25 12:00:00,10.31,overcast clouds,76,3.45,2025-03-25
Cambridge,2025-03-20 15:00:00,17.96,few clouds,54,3.59,2025-03-20
Cambridge,2025-03-20 18:00:00,14.24,few clouds,75,3.65,2025-03-20
Cambridge,2025-03-20 21:00:00,9.04,clear sky,83,3.91,2025-03-20
Cambridge,2025-03-21 00:00:00,8.71,scattered clouds,89,3.84,2025-03-21
Cambridge,2025-03-21 03:00:00,8.79,overcast clouds,89,4.26,2025-03-21
Cambridge,2025-03-21 06:00:00,8.42,overcast clouds,89,4.9,2025-03-21
Cambridge,2025-03-21 09:00:00,12.07,overcast clouds,79,6.52,2025-03-21
Cambridge,2025-03-21 12:00:00,14.02,overcast clouds,69,6.98,2025-03-21
Cambridge,2025-03-21 15:00:00,14.08,overcast clouds,74,7.13,2025-03-21
Cambridge,2025-03-21 18:00:00,12.04,overcast clouds,83,4.79,2025-03-21
Cambridge,2025-03-21 21:00:00,11.43,overcast clouds,84,5.96,2025-03-21
Cambridge,2025-03-22 00:00:00,12.22,light rain,94,8.04,2025-03-22
